ObservationDate,Recovered
01/22/2020,0.0
01/22/2020,0.0
01/22/2020,0.0
01/22/2020,0.0
01/22/2020,0.0
01/22/2020,0.0
01/22/2020,0.0
01/22/2020,0.0
01/22/2020,0.0
01/22/2020,0.0
01/22/2020,0.0
01/22/2020,0.0
01/22/2020,0.0
01/22/2020,28.0
01/22/2020,0.0
01/22/2020,0.0
01/22/2020,0.0
01/22/2020,0.0
01/22/2020,0.0
01/22/2020,0.0
01/22/2020,0.0
01/22/2020,0.0
01/22/2020,0.0
01/22/2020,0.0
01/22/2020,0.0
01/22/2020,0.0
01/22/2020,0.0
01/22/2020,0.0
01/22/2020,0.0
01/22/2020,0.0
01/22/2020,0.0
01/22/2020,0.0
01/22/2020,0.0
01/22/2020,0.0
01/22/2020,0.0
01/22/2020,0.0
01/22/2020,2.0
01/22/2020,0.0
01/23/2020,0.0
01/23/2020,0.0
01/23/2020,0.0
01/23/2020,0.0
01/23/2020,0.0
01/23/2020,2.0
01/23/2020,0.0
01/23/2020,0.0
01/23/2020,0.0
01/23/2020,28.0
01/23/2020,0.0
01/23/2020,0.0
01/23/2020,0.0
01/23/2020,28.0
01/23/2020,0.0
01/23/2020,0.0
01/23/2020,0.0
01/23/2020,0.0
01/23/2020,0.0
01/23/2020,0.0
01/23/2020,0.0
01/23/2020,0.0
01/23/2020,0.0
01/23/2020,0.0
01/23/2020,0.0
01/23/2020,0.0
01/23/2020,0.0
01/23/2020,0.0
01/23/2020,0.0
01/23/2020,0.0
01/23/2020,0.0
01/23/2020,0.0
01/23/2020,0.0
01/23/2020,0.0
01/23/2020,0.0
01/23/2020,0.0
01/23/2020,2.0
01/23/2020,0.0
01/23/2020,0.0
01/23/2020,0.0
01/23/2020,0.0
01/23/2020,0.0
01/23/2020,0.0
01/23/2020,0.0
01/23/2020,0.0
01/23/2020,0.0
01/24/2020,31.0
01/24/2020,2.0
01/24/2020,1.0
01/24/2020,1.0
01/24/2020,0.0
01/24/2020,0.0
01/24/2020,0.0
01/24/2020,1.0
01/24/2020,0.0
01/24/2020,0.0
01/24/2020,0.0
01/24/2020,0.0
01/24/2020,0.0
01/24/2020,0.0
01/24/2020,0.0
01/24/2020,0.0
01/24/2020,0.0
01/24/2020,0.0
01/24/2020,0.0
01/24/2020,0.0
01/24/2020,0.0
01/24/2020,0.0
01/24/2020,0.0
01/24/2020,0.0
01/24/2020,0.0
01/24/2020,0.0
01/24/2020,0.0
01/24/2020,0.0
01/24/2020,0.0
01/24/2020,0.0
01/24/2020,0.0
01/24/2020,0.0
01/24/2020,0.0
01/24/2020,0.0
01/24/2020,0.0
01/24/2020,0.0
01/24/2020,3.0
01/24/2020,0.0
01/24/2020,0.0
01/24/2020,0.0
01/24/2020,0.0
01/25/2020,32.0
01/25/2020,2.0
01/25/2020,1.0
01/25/2020,0.0
01/25/2020,0.0
01/25/2020,2.0
01/25/2020,0.0
01/25/2020,1.0
01/25/2020,0.0
01/25/2020,0.0
01/25/2020,0.0
01/25/2020,0.0
01/25/2020,0.0
01/25/2020,0.0
01/25/2020,0.0
01/25/2020,1.0
01/25/2020,0.0
01/25/2020,0.0
01/25/2020,0.0
01/25/2020,0.0
01/25/2020,0.0
01/25/2020,0.0
01/25/2020,0.0
01/25/2020,0.0
01/25/2020,0.0
01/25/2020,0.0
01/25/2020,0.0
01/25/2020,0.0
01/25/2020,0.0
01/25/2020,0.0
01/25/2020,0.0
01/25/2020,0.0
01/25/2020,0.0
01/25/2020,0.0
01/25/2020,0.0
01/25/2020,0.0
01/25/2020,3.0
01/25/2020,0.0
01/25/2020,0.0
01/25/2020,0.0
01/25/2020,0.0
01/25/2020,0.0
01/25/2020,0.0
01/25/2020,0.0
01/26/2020,42.0
01/26/2020,2.0
01/26/2020,1.0
01/26/2020,0.0
01/26/2020,0.0
01/26/2020,0.0
01/26/2020,2.0
01/26/2020,0.0
01/26/2020,0.0
01/26/2020,0.0
01/26/2020,1.0
01/26/2020,0.0
01/26/2020,0.0
01/26/2020,0.0
01/26/2020,1.0
01/26/2020,0.0
01/26/2020,0.0
01/26/2020,0.0
01/26/2020,0.0
01/26/2020,0.0
01/26/2020,0.0
01/26/2020,0.0
01/26/2020,0.0
01/26/2020,0.0
01/26/2020,0.0
01/26/2020,0.0
01/26/2020,0.0
01/26/2020,0.0
01/26/2020,0.0
01/26/2020,0.0
01/26/2020,0.0
01/26/2020,0.0
01/26/2020,0.0
01/26/2020,0.0
01/26/2020,0.0
01/26/2020,0.0
01/26/2020,0.0
01/26/2020,1.0
01/26/2020,6.0
01/26/2020,0.0
01/26/2020,0.0
01/26/2020,0.0
01/26/2020,0.0
01/26/2020,0.0
01/26/2020,0.0
01/26/2020,0.0
01/26/2020,0.0
01/27/2020,45.0
01/27/2020,4.0
01/27/2020,1.0
01/27/2020,0.0
01/27/2020,0.0
01/27/2020,0.0
01/27/2020,2.0
01/27/2020,0.0
01/27/2020,2.0
01/27/2020,0.0
01/27/2020,0.0
01/27/2020,0.0
01/27/2020,3.0
01/27/2020,1.0
01/27/2020,0.0
01/27/2020,0.0
01/27/2020,0.0
01/27/2020,0.0
01/27/2020,0.0
01/27/2020,0.0
01/27/2020,0.0
01/27/2020,0.0
01/27/2020,0.0
01/27/2020,0.0
01/27/2020,0.0
01/27/2020,0.0
01/27/2020,0.0
01/27/2020,0.0
01/27/2020,0.0
01/27/2020,0.0
01/27/2020,0.0
01/27/2020,0.0
01/27/2020,0.0
01/27/2020,0.0
01/27/2020,0.0
01/27/2020,0.0
01/27/2020,0.0
01/27/2020,1.0
01/27/2020,6.0
01/27/2020,0.0
01/27/2020,0.0
01/27/2020,0.0
01/27/2020,0.0
01/27/2020,0.0
01/27/2020,0.0
01/27/2020,0.0
01/27/2020,0.0
01/27/2020,0.0
01/27/2020,0.0
01/27/2020,0.0
01/27/2020,0.0
01/28/2020,80.0
01/28/2020,4.0
01/28/2020,3.0
01/28/2020,0.0
01/28/2020,0.0
01/28/2020,0.0
01/28/2020,3.0
01/28/2020,0.0
01/28/2020,0.0
01/28/2020,4.0
01/28/2020,0.0
01/28/2020,0.0
01/28/2020,1.0
01/28/2020,4.0
01/28/2020,2.0
01/28/2020,0.0
01/28/2020,0.0
01/28/2020,0.0
01/28/2020,0.0
01/28/2020,0.0
01/28/2020,0.0
01/28/2020,0.0
01/28/2020,0.0
01/28/2020,0.0
01/28/2020,0.0
01/28/2020,0.0
01/28/2020,0.0
01/28/2020,0.0
01/28/2020,0.0
01/28/2020,0.0
01/28/2020,0.0
01/28/2020,0.0
01/28/2020,0.0
01/28/2020,0.0
01/28/2020,0.0
01/28/2020,0.0
01/28/2020,0.0
01/28/2020,1.0
01/28/2020,6.0
01/28/2020,0.0
01/28/2020,0.0
01/28/2020,0.0
01/28/2020,0.0
01/28/2020,0.0
01/28/2020,0.0
01/28/2020,0.0
01/28/2020,0.0
01/28/2020,0.0
01/28/2020,0.0
01/28/2020,0.0
01/28/2020,0.0
01/28/2020,0.0
01/29/2020,88.0
01/29/2020,3.0
01/29/2020,5.0
01/29/2020,0.0
01/29/2020,1.0
01/29/2020,2.0
01/29/2020,1.0
01/29/2020,1.0
01/29/2020,4.0
01/29/2020,3.0
01/29/2020,1.0
01/29/2020,1.0
01/29/2020,5.0
01/29/2020,0.0
01/29/2020,2.0
01/29/2020,0.0
01/29/2020,0.0
01/29/2020,0.0
01/29/2020,0.0
01/29/2020,1.0
01/29/2020,0.0
01/29/2020,0.0
01/29/2020,1.0
01/29/2020,0.0
01/29/2020,0.0
01/29/2020,0.0
01/29/2020,0.0
01/29/2020,0.0
01/29/2020,1.0
01/29/2020,0.0
01/29/2020,0.0
01/29/2020,0.0
01/29/2020,0.0
01/29/2020,0.0
01/29/2020,0.0
01/29/2020,0.0
01/29/2020,0.0
01/29/2020,1.0
01/29/2020,6.0
01/29/2020,0.0
01/29/2020,0.0
01/29/2020,0.0
01/29/2020,0.0
01/29/2020,0.0
01/29/2020,0.0
01/29/2020,0.0
01/29/2020,0.0
01/29/2020,0.0
01/29/2020,0.0
01/29/2020,0.0
01/29/2020,0.0
01/29/2020,0.0
01/29/2020,0.0
01/29/2020,0.0
01/30/2020,90.0
01/30/2020,4.0
01/30/2020,10.0
01/30/2020,2.0
01/30/2020,2.0
01/30/2020,2.0
01/30/2020,1.0
01/30/2020,5.0
01/30/2020,1.0
01/30/2020,1.0
01/30/2020,1.0
01/30/2020,4.0
01/30/2020,5.0
01/30/2020,0.0
01/30/2020,2.0
01/30/2020,0.0
01/30/2020,0.0
01/30/2020,0.0
01/30/2020,1.0
01/30/2020,0.0
01/30/2020,1.0
01/30/2020,1.0
01/30/2020,0.0
01/30/2020,0.0
01/30/2020,0.0
01/30/2020,0.0
01/30/2020,1.0
01/30/2020,0.0
01/30/2020,1.0
01/30/2020,0.0
01/30/2020,0.0
01/30/2020,0.0
01/30/2020,0.0
01/30/2020,0.0
01/30/2020,0.0
01/30/2020,0.0
01/30/2020,0.0
01/30/2020,0.0
01/30/2020,1.0
01/30/2020,7.0
01/30/2020,0.0
01/30/2020,0.0
01/30/2020,0.0
01/30/2020,0.0
01/30/2020,0.0
01/30/2020,0.0
01/30/2020,0.0
